lambda																																																												
	NE	Concen	Agree	OM	Extrovert																																																							
RBF3	-0.0102824696463769	0.151583645864346	-0.0348768714651907	-0.103392593072621	-0.0253834864470301																																																							
RBF8	0.10799354360241	-0.0790725571847133	0.182565859240085	0.0293692196941965	0.0992404779533482																																																							
BF13	0.00493166472108055	0.117157888783349	-0.00563448338584694	-0.0953842798141748	-0.0190793209399573																																																							
BF18	-0.0828547519907501	0.0939573412367426	0.10734301851838	0.0691392833431499	-0.129779283856718																																																							
RBF23	0.163411530041879	-0.125459508518415	0.0883797300982369	0.00840649069361859	0.146652151137938																																																							
RBF28	-0.0474557094250187	-0.354220428290518	0.0105377188572296	-0.0194858651636798	-0.00316771366730085																																																							
BF33	0.0395508073636043	0.0201209422999191	0.0569043470544082	0.0701730189237463	0.0282902910055014																																																							
BF38	0.0378183331884267	0.0199716632272154	0.0974964810090969	0.199426885936133	-0.110398611721114																																																							
BF43	0.0930769849041618	-0.087366521336016	0.0203603605746467	-0.0280572300640281	-0.122226349235136																																																							
RBF48	0.116816333637851	0.027998075281003	0.115641863913065	-0.0863033445210541	-0.133983934299746																																																							
BF53	0.0468476373213289	0.102299199085611	0.0500511911775513	0.1035442816746	-0.0429567115098584																																																							
RBF58	-0.0528521236673003	-0.0262958288561426	-0.0813854490571981	0.000645423388348377	-0.0101856921282975																																																							
RBF4	-0.093	-0.042	0.352791076582276	-0.024	0.044																																																							
RBF9	-0.0324862623432403	0.144169557954292	-0.0145827837093953	-0.125470638816558	-0.052001232273288																																																							
BF14	0.054062941412055	-0.124393518215207	-0.0535111679099883	-0.0432311774501297	-0.065661365558966																																																							
BF19	0.0529208186008387	0.0975527370953307	0.0628968934379325	-0.0839211176632473	0.125897877877678																																																							
RBF24	0.0531654874646091	0.143883308734802	-0.046932026265133	-0.0830019933101215	-0.148084181165105																																																							
RBF29	-0.118839830980365	0.0264773588428088	-0.25559611062048	-0.0896383303841075	0.152643060560567																																																							
BF34	-0.0334880113976495	-0.134798649337199	-0.0494038179820838	0.120503283850413	-0.0121596648520991																																																							
BF39	0.0284947353543189	-0.129202187518403	0.229649131370558	0.0902115598005477	0.0544000218906001																																																							
RBF44	-0.207653659437301	0.0824379821338106	-0.0790547314895763	0.0652635071592817	0.151331285762388																																																							
RBF49	0.0989853266986959	0.0227589369449067	-0.113425026136942	0.134822065857866	0.0842561934770103																																																							
BF54	0.0462852301341671	-0.0472865615454365	0.148432462924223	0.0682247029076554	0.067901437615535																																																							
BF59	0.0856571067120504	-0.151164338430876	-0.0827977871310608	-0.0170208977344498	0.130603349066112																																																							
RBF5	-0.0733351455932088	0.0989374606150033	-0.0278445807201115	-0.189352704069305	-0.00324294147933488																																																							
BF10	0.173901983397136	0.0555313726100922	-0.109652623630372	0.0284490946309052	0.213903843770375																																																							
BF15	0.199522701391138	-0.060485340751625	-0.193089045266452	-0.188892586541934	-0.0539694659766299																																																							
BF20	-0.0848634774685937	0.0960377762217521	-0.0318843874122533	0.165493597102796	-0.064888814836144																																																							
RBF25	-0.195427943682282	0.0443537361294231	-0.156880103342227	-0.0235301483211081	0.110316820211723																																																							
RBF30	-0.106717050667616	0.0392068270154466	-0.0476316865310655	0.0945725555122187	-0.0681762877474708																																																							
BF35	0.0885897028550892	-0.00123829570368471	0.198579165895168	-0.0865397413706929	0.175478238140091																																																							
BF40	-0.0067400197086446	-0.237352739907591	-0.133417525898385	-0.0429721971092881	0.108948058590096																																																							
RBF45	-0.066199187131594	0.202716681943868	-0.0212939571613655	-0.0140784822574768	0.00499257531227343																																																							
RBF50	0.0101248385165743	0.134817127733243	-0.00675286806342861	0.0699509345481082	-0.102453649510914																																																							
RBF55	-0.0168772046208956	-0.113445884640347	-0.0901419593445578	-0.00715153918493577	0.044127624278127																																																							
BF60	-0.024	-0.053	0.039	0.04	0.281574156538184																																																							
																																																												
theta																																																												
